epoch,accuracy,loss,val_accuracy,val_loss
0,0.35227271914482117,1.7083275318145752,0.46875,1.1850757598876953
1,0.5087809562683105,1.1169580221176147,0.4348958432674408,1.6298389434814453
2,0.5831611156463623,1.0285998582839966,0.6848958730697632,0.7722448706626892
3,0.6167355179786682,0.9511222243309021,0.7447916865348816,0.6800107359886169
4,0.7055785059928894,0.7646651268005371,0.7604166865348816,0.6642657518386841
5,0.73398756980896,0.7185834646224976,0.7552083730697632,0.6432281732559204
6,0.7747933268547058,0.5898471474647522,0.7864583730697632,0.5533177852630615
7,0.8006197810173035,0.5411590337753296,0.8932291865348816,0.35572439432144165
8,0.8212809562683105,0.4775114953517914,0.9088541865348816,0.2721099257469177
9,0.8476239442825317,0.4175814986228943,0.9036458730697632,0.3206341862678528
10,0.8569214344024658,0.4053892493247986,0.9348958730697632,0.21708691120147705
11,0.8961776494979858,0.293290376663208,0.8958333730697632,0.31798607110977173
12,0.8873966336250305,0.31117677688598633,0.9427083730697632,0.2130003273487091
13,0.9137396216392517,0.2906385362148285,0.9557291865348816,0.1621292680501938
14,0.9173553586006165,0.25273528695106506,0.9583333730697632,0.17298822104930878
15,0.9189049005508423,0.23192481696605682,0.9557291865348816,0.15492138266563416
16,0.9256197810173035,0.21550828218460083,0.96875,0.11745043098926544
17,0.9333677291870117,0.19940079748630524,0.9505208730697632,0.17589795589447021
18,0.9284273982048035,0.20874807238578796,0.96875,0.06911525130271912
19,0.9256197810173035,0.20025534927845,0.96875,0.12688425183296204
20,0.9338842630386353,0.1834447979927063,0.9583333730697632,0.16237957775592804
21,0.9452478885650635,0.17346970736980438,0.9765625,0.08626215159893036
22,0.9550619721412659,0.13737691938877106,0.9713541865348816,0.08120011538267136
23,0.942148745059967,0.1765633523464203,0.9765625,0.08464337885379791
24,0.9721074104309082,0.08256226032972336,0.984375,0.05389338731765747
25,0.9767561554908752,0.07054706662893295,0.984375,0.055301398038864136
26,0.9845041036605835,0.052092295140028,0.9817708730697632,0.05367976427078247
27,0.9777892231941223,0.06577242910861969,0.984375,0.051940880715847015
28,0.9793388247489929,0.060604654252529144,0.984375,0.04641580209136009
29,0.9829545021057129,0.049760110676288605,0.9869791865348816,0.04778214916586876
30,0.9824379682540894,0.05138436332345009,0.9869791865348816,0.04833708703517914
31,0.985020637512207,0.054715219885110855,0.9895833730697632,0.048254311084747314
32,0.9845041036605835,0.048140015453100204,0.9817708730697632,0.051061175763607025
33,0.9845041036605835,0.04162843897938728,0.9869791865348816,0.049531277269124985
34,0.9824379682540894,0.05374407768249512,0.9869791865348816,0.04744178056716919
35,0.9907024502754211,0.034058019518852234,0.9895833730697632,0.04955310747027397
36,0.988636314868927,0.04197734594345093,0.9869791865348816,0.044311754405498505
37,0.9870867133140564,0.0345282182097435,0.984375,0.0459943488240242
38,0.9855371713638306,0.04942704737186432,0.9895833730697632,0.04552416130900383
39,0.9891528487205505,0.03403899818658829,0.984375,0.04371466860175133
40,0.9876032471656799,0.041796937584877014,0.9869791865348816,0.04553791880607605
41,0.985020637512207,0.036726661026477814,0.9869791865348816,0.04038552567362785
42,0.9896693825721741,0.031044723466038704,0.9817708730697632,0.04738863557577133
43,0.9917355179786682,0.027011673897504807,0.9869791865348816,0.052702464163303375
44,0.9912189841270447,0.03079264611005783,0.9921875,0.041487596929073334
45,0.985020637512207,0.044321972876787186,0.984375,0.04075610637664795
46,0.9891528487205505,0.02949788235127926,0.984375,0.04588223621249199
47,0.9896693825721741,0.036776866763830185,0.9869791865348816,0.04216357320547104
48,0.9922520518302917,0.024891911074519157,0.9895833730697632,0.04291720315814018
49,0.988636314868927,0.03188105300068855,0.9895833730697632,0.03283452242612839
50,0.988636314868927,0.03814193233847618,0.9895833730697632,0.03935310244560242
51,0.9901859164237976,0.02621474117040634,0.9921875,0.03438560664653778
52,0.9891528487205505,0.035327743738889694,0.9895833730697632,0.037194326519966125
53,0.9922520518302917,0.02341810055077076,0.9895833730697632,0.04450178146362305
54,0.9927685260772705,0.023363826796412468,0.9895833730697632,0.043150003999471664
55,0.9865701794624329,0.03619566932320595,0.9869791865348816,0.036704350262880325
56,0.9922520518302917,0.02435351349413395,0.9869791865348816,0.03215128183364868
57,0.9927685260772705,0.019162585958838463,0.9869791865348816,0.040973909199237823
58,0.9870867133140564,0.039290301501750946,0.9921875,0.03290349245071411
59,0.9860537052154541,0.03681042045354843,0.9817708730697632,0.039160698652267456
60,0.9938015937805176,0.019039366394281387,0.9869791865348816,0.03309638053178787
61,0.9922520518302917,0.020820947363972664,0.9869791865348816,0.03898819535970688
62,0.9922520518302917,0.024696575477719307,0.9869791865348816,0.04332391172647476
63,0.9909273982048035,0.028194976970553398,0.9869791865348816,0.03999533876776695
64,0.985020637512207,0.03427969291806221,0.9895833730697632,0.04659893363714218
65,0.9881197810173035,0.03311949223279953,0.9895833730697632,0.038133494555950165
66,0.9927685260772705,0.016758495941758156,0.9895833730697632,0.03800150007009506
67,0.9943181276321411,0.015620340593159199,0.984375,0.03443823754787445
68,0.9948346614837646,0.018959807232022285,0.9869791865348816,0.04755174368619919
69,0.9912189841270447,0.025339659303426743,0.9869791865348816,0.036346685141325
70,0.9912189841270447,0.024036984890699387,0.9869791865348816,0.03489578142762184
71,0.9938015937805176,0.01824074611067772,0.9869791865348816,0.03605067729949951
72,0.9917355179786682,0.025755593553185463,0.9869791865348816,0.03603048622608185
73,0.9907024502754211,0.025415807962417603,0.9869791865348816,0.03332924842834473
74,0.9938015937805176,0.017263824120163918,0.9869791865348816,0.04243014380335808
75,0.993285059928894,0.017850618809461594,0.9869791865348816,0.04730076342821121
76,0.9938015937805176,0.01769106462597847,0.9869791865348816,0.05162788927555084
77,0.9922520518302917,0.01808135211467743,0.9869791865348816,0.05117005854845047
78,0.9907024502754211,0.02560688741505146,0.9895833730697632,0.04804258793592453
79,0.9969007968902588,0.01694605126976967,0.9869791865348816,0.03749915212392807
80,0.9896693825721741,0.02287113107740879,0.9947916865348816,0.019173171371221542
81,0.9927685260772705,0.017750181257724762,0.984375,0.047666996717453
82,0.9958677291870117,0.01477901078760624,0.9895833730697632,0.04140862450003624
83,0.9938015937805176,0.02144501730799675,0.9869791865348816,0.05092167109251022
84,0.9953511953353882,0.01601170189678669,0.9921875,0.038424301892519
85,0.9938015937805176,0.018970580771565437,0.9895833730697632,0.039520639926195145
86,0.993285059928894,0.021185193210840225,0.9895833730697632,0.04351594299077988
87,0.9963842630386353,0.012818890623748302,0.9921875,0.03507664054632187
88,0.993285059928894,0.01919258013367653,0.9895833730697632,0.035727545619010925
89,0.9943181276321411,0.016050687059760094,0.9921875,0.037315595895051956
90,0.9953511953353882,0.025562454015016556,0.9921875,0.03587598353624344
91,0.9974173307418823,0.008164375089108944,0.9921875,0.04684653878211975
92,0.9958677291870117,0.014709335751831532,0.9895833730697632,0.039712946861982346
93,0.9969007968902588,0.010538285598158836,0.9921875,0.0352967232465744
94,0.9922520518302917,0.03210382163524628,0.9921875,0.0352339968085289
95,0.9938015937805176,0.015389405190944672,0.9921875,0.04484660550951958
96,0.9948346614837646,0.016677724197506905,0.9921875,0.03754477947950363
97,0.9969007968902588,0.009160393849015236,0.9921875,0.03878631442785263
98,0.9948346614837646,0.021224703639745712,0.9921875,0.04105579853057861
99,0.9963842630386353,0.012010656297206879,0.9869791865348816,0.04452301561832428
